Area Code,Year,Item Code,Production,Import Quantity,Stock Variation,Domestic supply quantity,Processing,Residuals,Food,Food supply quantity (kg/capita/yr),Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day),Export Quantity,Losses,Feed,Seed,Other uses (non-food),Tourist consumption
3,2018,2781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2744,52.0,0.0,0.0,52.0,0.0,0.0,44.0,15.24,57.0,4.49,4.02,0.0,8.0,0.0,0.0,0.0,0.0
3,2018,2848,1144.0,18.0,0.0,1162.0,87.0,0.0,913.0,316.78,637.0,37.6,38.91,0.0,85.0,76.0,0.0,0.0,0.0
3,2018,2761,2.44,0.23,0.0,1.63,0.0,0.0,1.63,0.57,1.0,0.17,0.04,1.04,0.0,0.0,0.0,0.0,0.0
3,2018,2762,5.54,1.65,0.0,6.01,0.0,0.0,6.01,2.08,2.0,0.49,0.05,1.19,0.0,0.0,0.0,0.0,0.0
3,2018,2763,1.66,19.64,0.0,9.71,0.0,0.0,9.54,3.31,7.0,1.03,0.3,11.58,0.0,0.17,0.0,0.0,0.0
3,2018,2764,0.2,1.47,0.0,1.3,0.0,0.0,1.3,0.45,1.0,0.14,0.03,0.37,0.0,0.0,0.0,0.0,0.0
3,2018,2765,2.09,9.3,0.0,3.92,0.0,0.0,3.92,1.36,2.0,0.41,0.02,7.47,0.0,0.0,0.0,0.0,0.0
3,2018,2766,0.33,2.99,0.0,2.07,0.0,0.0,2.07,0.72,2.0,0.3,0.03,1.24,0.0,0.0,0.0,0.0,0.0
3,2018,2767,0.43,0.12,0.0,0.43,0.0,0.0,0.43,0.15,0.0,0.01,0.0,0.12,0.0,0.0,0.0,0.0,0.0
3,2018,2769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2775,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
3,2018,2511,240.0,267.0,-90.0,595.0,0.0,0.0,389.0,134.78,1036.0,32.96,5.81,2.0,27.0,21.0,15.0,144.0,0.0
3,2018,2805,0.0,38.0,2.0,37.0,0.0,0.0,37.0,12.7,70.0,1.37,0.12,0.0,0.0,0.0,0.0,0.0,0.0
