Code Domaine,Domaine,Code zone,Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","7","Angola","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","196.441699","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","7","Angola","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","","198.684475","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","7","Angola","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","","201.034343","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","7","Angola","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","","203.394692","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","7","Angola","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","","206.18092","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","7","Angola","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","","208.802141","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","7","Angola","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","","211.993524","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","258","Anguilla","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","101.467766","F","Estimation FAO","base year is 2015"
"CP","Indices de Prix à la Consommation","258","Anguilla","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","101.494478","F","Estimation FAO","base year is 2015"
"CP","Indices de Prix à la Consommation","258","Anguilla","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","101.521189","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","258","Anguilla","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","100.942442","F","Estimation FAO","base year is 2015"
"CP","Indices de Prix à la Consommation","258","Anguilla","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","100.363695","F","Estimation FAO","base year is 2015"
"CP","Indices de Prix à la Consommation","258","Anguilla","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","99.784947","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","258","Anguilla","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","","100.325111","F","Estimation FAO","base year is 2015"
"CP","Indices de Prix à la Consommation","258","Anguilla","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","","100.865276","F","Estimation FAO","base year is 2015"
"CP","Indices de Prix à la Consommation","258","Anguilla","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","","101.40544","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","258","Anguilla","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","","102.298788","F","Estimation FAO","base year is 2015"
"CP","Indices de Prix à la Consommation","258","Anguilla","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","","103.192137","F","Estimation FAO","base year is 2015"
"CP","Indices de Prix à la Consommation","258","Anguilla","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","","104.085485","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","8","Antigua-et-Barbuda","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","103.421957","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","8","Antigua-et-Barbuda","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","103.498269","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","8","Antigua-et-Barbuda","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","103.161224","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","8","Antigua-et-Barbuda","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","103.631815","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","8","Antigua-et-Barbuda","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","104.64295","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","8","Antigua-et-Barbuda","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","104.999073","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","8","Antigua-et-Barbuda","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","","106.531674","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","8","Antigua-et-Barbuda","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","","106.557112","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","8","Antigua-et-Barbuda","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","","105.927537","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","8","Antigua-et-Barbuda","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","","106.429925","X","Sources internationales sûres","base year is 2015"
